building_name,num_floors
A.B. Moore Hall,3
Adams Hall,3
Alabama Aquatics Center,2
Alabama Athletics Dining Facility,2
Alabama Institute for Manufacturing Excellence,2
Alabama Mobility and Power Center,2
Alabama Soccer Stadium,1
Alston Hall,4
Alpha Chi Omega,3
Alpha Delta Chi,3
Alpha Delta Pi,3
Alpha Delta Phi,3
Alpha Epsilon Pi,3
Alpha Gamma Delta,3
Alpha Kappa Alpha,3
Alpha Kappa Lambda,3
Alpha Omega Epsilon,3
Alpha Omicron Pi,3
Alpha Phi,3
Alpha Phi Alpha,3
Alpha Sigma Phi,3
Alpha Tau Omega,3
Autherine Lucy Hall,3
B.B. Comer Hall,3
Barnwell Hall,3
Bashinsky Computer Center,2
Beta Theta Pi,3
Beta Upsilon Chi,3
Betty Shirley Clinic,2
Bevill Building,3
Bidgood Hall,4
Bill Battle Athletic Performance Center,2
Blount Hall,4
Brewer-Porch Children's Center,2
Bruno Business Library,3
Bryant Conference Center,3
Bryant Hall,4
Bryant Museum,2
Bryant-Jordan Hall,2
Bryce Lawn,2
Bryce Main Building,3
Bureau of Mines,2
Burke Hall,5
Capstone College of Nursing Building,3
Capstone Village,5
Carmichael Hall,3
Chi Omega,3
Chi Phi,3
Child and Family Research Clinic,1
Child Development Research Center,2
Clark Hall,3
Coleman Coliseum,3
Cyber Hall,2
Delta Chi,3
Delta Delta Delta,3
Delta Gamma,3
Delta Kappa Epsilon,3
Delta Sigma Theta,3
Delta Tau Delta,3
Delta Zeta,3
Denny Chimes,1
Doster Hall,3
Drummond Lyon Hall,4
East Annex,2
East Edge,4
Employee Resource Center,2
English Building,3
FarmHouse,3
Farrah Hall,4
Foster Auditorium,2
Gallalee Hall,3
Gamma Phi Beta,3
Garland Hall,3
Geological Survey of Alabama Building,3
Gordon Palmer Hall,4
Gorgas House Museum,2
Gorgas Library,5
Gorgas Machine Shop,1
Greek Assembly Hall,2
H.M. Comer Hall,3
Hank Crisp Indoor Facility,1
Hardaway Hall,3
Harris Hall,2
Hewson Hall,4
Highlands,3
Holle Center for Communication Arts,2
Honors Hall,3
Houser Hall,3
John England Jr. Hall,4
Judy Bonner Child Development Center,2
Kappa Alpha Order,3
Kappa Alpha Theta,3
Kappa Delta,3
Kappa Kappa Gamma,3
Kappa Sigma,3
Lakeside East,4
Lakeside West,4
Lambda Chi Alpha,3
Law Center,3
Little Hall,3
Lloyd Hall,4
Magnolia House,1
Mal M. Moore Athletic Facility,2
Martha Parham Hall East,4
Martha Parham Hall West,4
Mary Harmon Bryant Hall,2
Math & Science Education Building,3
Maxwell Hall,2
McClure Library,2
Moody Music Building,3
Morgan Hall,3
North Engineering Research Center,4
North Lawn Hall,2
Northeast Medical Building,2
Oliver-Barnard Hall,2
Osband Hall,2
Parker-Haun Tennis Facility,1
Paty Hall,4
Phi Delta Theta,3
Phi Gamma Delta,3
Phi Kappa Psi,3
Phi Kappa Sigma,3
Phi Kappa Tau,3
Phi Mu,3
Pi Beta Phi,3
Pi Kappa Alpha,3
Pi Kappa Phi,3
Presidential Village I,7
Presidential Village II,7
Presidents Hall,3
President's Mansion,3
Randall Welcome Center,2
Reese Phifer Hall,4
Rhoads Stadium,1
Ridgecrest East,5
Ridgecrest North,7
Ridgecrest South,7
Ridgecrest West,5
Riverside East,4
Riverside North,4
Riverside South,4
Riverside West,4
Robert E. Witt Student Activity Center,3
Roberta Alison Baumgardner Tennis Facility,1
Rodgers Library,2
Rose Administration Building,3
Rowand-Johnson Building,3
Russell Hall,4
Saban Field at Bryant-Denny Stadium,10
Sam Bailey Track and Field Stadium,1
Sarah Moody Gallery,1
Science and Engineering Complex,4
Scientific Collections Facility,1
Sewell-Thomas Stadium,3
Shelby Hall,4
Sigma Alpha Epsilon,3
Sigma Chi,3
Sigma Delta Tau,3
Sigma Gamma Rho,3
Sigma Kappa,3
Sigma Nu,3
Sigma Phi Epsilon,3
Sigma Pi,3
Smart Communities and Innovation Building,3
Smith Family Center for the Performing Arts,3
Smith Hall,3
Smith Woods,1
South Engineering Research Center,4
Speech and Hearing Building,2
Stallings Center,1
State Oil and Gas Board Building,2
Stran-Hardin Arena,2
Student Center,3
Student Health Center,2
Student Recreation Center,2
Student Services Center,3
Temple Tutwiler Hall,5
Ten Hoor Hall,3
Theta Chi,3
Tuomey Hall,2
Tutwiler Hall,5
University Club,2
University Early Childhood Development and Education Center,1
University Hall,3
University Medical Center,3
University Police Department,2
University Printing Services,1
University Supply Store at the Corner,2
USGS Hydrologic Instrumentation Facility,2
Varsity Tennis Stadium,1
Wade Hall,2
Wilson Hall,3
Woods Hall,3
Zeta Beta Tau,3
Zeta Tau Alpha,3
