building_name,primary_usage
A.B. Moore Hall,Education
Adams Hall,Education
Alabama Aquatics Center,Entertainment/public assembly
Alabama Athletics Dining Facility,Food sales and service
Alabama Institute for Manufacturing Excellence,Technology/science
Alabama Mobility and Power Center,Technology/science
Alabama Soccer Stadium,Entertainment/public assembly
Alston Hall,Education
Alpha Chi Omega,Lodging/residential
Alpha Delta Chi,Lodging/residential
Alpha Delta Pi,Lodging/residential
Alpha Delta Phi,Lodging/residential
Alpha Epsilon Pi,Lodging/residential
Alpha Gamma Delta,Lodging/residential
Alpha Kappa Alpha,Lodging/residential
Alpha Kappa Lambda,Lodging/residential
Alpha Omega Epsilon,Lodging/residential
Alpha Omicron Pi,Lodging/residential
Alpha Phi,Lodging/residential
Alpha Phi Alpha,Lodging/residential
Alpha Sigma Phi,Lodging/residential
Alpha Tau Omega,Lodging/residential
Autherine Lucy Hall,Education
B.B. Comer Hall,Education
Barnwell Hall,Education
Bashinsky Computer Center,Education
Beta Theta Pi,Lodging/residential
Beta Upsilon Chi,Lodging/residential
Betty Shirley Clinic,Healthcare
Bevill Building,Technology/science
Bidgood Hall,Education
Bill Battle Athletic Performance Center,Education
Blount Hall,Lodging/residential
Brewer-Porch Children's Center,Healthcare
Bruno Business Library,Education
Bryant Conference Center,Entertainment/public assembly
Bryant Hall,Lodging/residential
Bryant Museum,Entertainment/public assembly
Bryant-Jordan Hall,Education
Bryce Lawn,Lodging/residential
Bryce Main Building,Office
Bureau of Mines,Education
Burke Hall,Lodging/residential
Capstone College of Nursing Building,Education
Capstone Village,Lodging/residential
Carmichael Hall,Office
Chi Omega,Lodging/residential
Chi Phi,Lodging/residential
Child and Family Research Clinic,Healthcare
Child Development Research Center,Education
Clark Hall,Office
Coleman Coliseum,Entertainment/public assembly
Cyber Hall,Technology/science
Delta Chi,Lodging/residential
Delta Delta Delta,Lodging/residential
Delta Gamma,Lodging/residential
Delta Kappa Epsilon,Lodging/residential
Delta Sigma Theta,Lodging/residential
Delta Tau Delta,Lodging/residential
Delta Zeta,Lodging/residential
Denny Chimes,Entertainment/public assembly
Doster Hall,Education
Drummond Lyon Hall,Education
East Annex,Office
East Edge,Lodging/residential
Employee Resource Center,Office
English Building,Education
FarmHouse,Lodging/residential
Farrah Hall,Education
Foster Auditorium,Entertainment/public assembly
Gallalee Hall,Education
Gamma Phi Beta,Lodging/residential
Garland Hall,Education
Geological Survey of Alabama Building,Public services
Gordon Palmer Hall,Education
Gorgas House Museum,Entertainment/public assembly
Gorgas Library,Education
Gorgas Machine Shop,Utility
Greek Assembly Hall,Entertainment/public assembly
H.M. Comer Hall,Education
Hank Crisp Indoor Facility,Entertainment/public assembly
Hardaway Hall,Education
Harris Hall,Lodging/residential
Hewson Hall,Education
Highlands,Lodging/residential
Holle Center for Communication Arts,Education
Honors Hall,Education
Houser Hall,Education
John England Jr. Hall,Lodging/residential
Judy Bonner Child Development Center,Education
Kappa Alpha Order,Lodging/residential
Kappa Alpha Theta,Lodging/residential
Kappa Delta,Lodging/residential
Kappa Kappa Gamma,Lodging/residential
Kappa Sigma,Lodging/residential
Lakeside East,Lodging/residential
Lakeside West,Lodging/residential
Lambda Chi Alpha,Lodging/residential
Law Center,Education
Little Hall,Education
Lloyd Hall,Education
Magnolia House,Office
