building_name,sqft
"A.B. Moore Hall",35000
"Adams Hall",11105
"Alabama Aquatics Center",65000
"Alabama Athletics Dining Facility",25000
"Alabama Institute for Manufacturing Excellence",45000
"Alabama Mobility and Power Center",35000
"Alabama Soccer Stadium",15000
"Alston Hall",50432
"Alpha Chi Omega",36000
"Alpha Delta Chi",15000
"Alpha Delta Pi",40000
"Alpha Delta Phi",20000
"Alpha Epsilon Pi",20000
"Alpha Gamma Delta",40000
"Alpha Kappa Alpha",15000
"Alpha Kappa Lambda",15000
"Alpha Omega Epsilon",15000
"Alpha Omicron Pi",38000
"Alpha Phi",38000
"Alpha Phi Alpha",15000
"Alpha Sigma Phi",15000
"Alpha Tau Omega",32000
"Autherine Lucy Hall",27942
"B.B. Comer Hall",45000
"Barnwell Hall",25000
"Bashinsky Computer Center",15000
"Beta Theta Pi",32000
"Beta Upsilon Chi",15000
"Betty Shirley Clinic",10000
"Bevill Building",95000
"Bidgood Hall",90000
"Bill Battle Athletic Performance Center",40000
"Blount Hall",120000
"Brewer-Porch Children's Center",45000
"Bruno Business Library",40000
"Bryant Conference Center",63000
"Bryant Hall",115000
"Bryant Museum",25000
"Bryant-Jordan Hall",6034
"Bryce Lawn",80000
"Bryce Main Building",150000
"Bureau of Mines",32917
"Burke Hall",180000
"Capstone College of Nursing Building",70000
"Capstone Village",250000
"Carmichael Hall",40000
"Chi Omega",40000
"Chi Phi",15000
"Child and Family Research Clinic",12000
"Child Development Research Center",18000
"Clark Hall",15000
"Coleman Coliseum",280000
"Cyber Hall",40000
"Delta Chi",25000
"Delta Delta Delta",40000
"Delta Gamma",40000
"Delta Kappa Epsilon",20000
"Delta Sigma Theta",15000
"Delta Tau Delta",32000
"Delta Zeta",40000
"Denny Chimes",500
"Doster Hall",45000
"Drummond Lyon Hall",25000
"East Annex",15000
"East Edge",150000
"Employee Resource Center",10000
"English Building",18000
"FarmHouse",18000
"Farrah Hall",55000
"Foster Auditorium",75000
"Gallalee Hall",35000
"Gamma Phi Beta",38000
"Garland Hall",20000
"Geological Survey of Alabama Building",80000
"Gordon Palmer Hall",140000
"Gorgas House Museum",5000
"Gorgas Library",250000
"Gorgas Machine Shop",8000
"Greek Assembly Hall",15000
"H.M. Comer Hall",75973
"Hank Crisp Indoor Facility",130000
"Hardaway Hall",85000
"Harris Hall",135000
"Hewson Hall",108000
"Highlands",160000
"Holle Center for Communication Arts",30000
"Honors Hall",15000
"Houser Hall",45000
"John England Jr. Hall",139044
"Judy Bonner Child Development Center",25000
"Kappa Alpha Order",32000
"Kappa Alpha Theta",38000
"Kappa Delta",40000
"Kappa Kappa Gamma",40000
"Kappa Sigma",32000
"Lakeside East",160000
"Lakeside West",160000
"Lambda Chi Alpha",32000
"Law Center",175000
"Little Hall",35000
"Lloyd Hall",110000
"Magnolia House",15000
"Mal M. Moore Athletic Facility",120000
"Martha Parham Hall East",120000
"Martha Parham Hall West",120000
"Mary Harmon Bryant Hall",65000
"Math & Science Education Building",45000
"Maxwell Hall",5000
"McClure Library",25000
"Moody Music Building",110000
"Morgan Hall",85000
"North Engineering Research Center",206000
"North Lawn Hall",85000
"Northeast Medical Building",35000
"Oliver-Barnard Hall",15000
"Osband Hall",33000
"Parker-Haun Tennis Facility",8000
"Paty Hall",140000
"Phi Delta Theta",32000
"Phi Gamma Delta",32000
"Phi Kappa Psi",32000
"Phi Kappa Sigma",32000
"Phi Kappa Tau",32000
"Phi Mu",40000
"Pi Beta Phi",40000
"Pi Kappa Alpha",35000
"Pi Kappa Phi",32000
"Presidential Village I",350000
"Presidential Village II",350000
"Presidents Hall",135000
"President's Mansion",15000
"Randall Welcome Center",18000
"Reese Phifer Hall",110000
"Rhoads Stadium",15000
"Ridgecrest East",240000
"Ridgecrest North",240000
"Ridgecrest South",480000
"Ridgecrest West",240000
"Riverside East",180000
"Riverside North",180000
"Riverside South",180000
"Riverside West",180000
"Robert E. Witt Student Activity Center",115000
"Roberta Alison Baumgardner Tennis Facility",12000
"Rodgers Library",35000
"Rose Administration Building",85000
"Rowand-Johnson Building",85000
"Russell Hall",55000
"Saban Field at Bryant-Denny Stadium",950000
"Sam Bailey Track and Field Stadium",12000
"Sarah Moody Gallery",5000
"Science and Engineering Complex",217000
"Scientific Collections Facility",20000
"Sewell-Thomas Stadium",65000
"Shelby Hall",200000
"Sigma Alpha Epsilon",32000
"Sigma Chi",32000
"Sigma Delta Tau",25000
"Sigma Gamma Rho",10000
"Sigma Kappa",38000
"Sigma Nu",32000
"Sigma Phi Epsilon",32000
"Sigma Pi",25000
"Smart Communities and Innovation Building",45000
"Smith Family Center for the Performing Arts",130000
"Smith Hall",60000
"Smith Woods",45000
"South Engineering Research Center",175000
"Speech and Hearing Building",25000
"Stallings Center",35000
"State Oil and Gas Board Building",45000
"Stran-Hardin Arena",27000
"Student Center",200000
"Student Health Center",65000
"Student Recreation Center",200000
"Student Services Center",120000
"Temple Tutwiler Hall",15000
"Ten Hoor Hall",115000
"Theta Chi",32000
"Tuomey Hall",15000
"Tutwiler Hall",383000
"University Club",15000
"University Early Childhood Development and Education Center",25000
"University Hall",85000
"University Medical Center",85000
"University Police Department",15000
"University Printing Services",25000
"University Supply Store at the Corner",10000
"USGS Hydrologic Instrumentation Facility",30000
"Varsity Tennis Stadium",15000
"Wade Hall",20000
"Wilson Hall",35000
"Woods Hall",40000
"Zeta Beta Tau",32000
"Zeta Tau Alpha",40000
