building_name,sub_primary_usage
A.B. Moore Hall,College Classroom
Adams Hall,College Classroom
Alabama Aquatics Center,Swimming Pool
Alabama Athletics Dining Facility,Restaurant
Alabama Institute for Manufacturing Excellence,College Laboratory
Alabama Mobility and Power Center,College Laboratory
Alabama Soccer Stadium,Sports Stadium
Alston Hall,College Classroom
Alpha Chi Omega,Dormitory
Alpha Delta Chi,Dormitory
Alpha Delta Pi,Dormitory
Alpha Delta Phi,Dormitory
Alpha Epsilon Pi,Dormitory
Alpha Gamma Delta,Dormitory
Alpha Kappa Alpha,Dormitory
Alpha Kappa Lambda,Dormitory
Alpha Omega Epsilon,Dormitory
Alpha Omicron Pi,Dormitory
Alpha Phi,Dormitory
Alpha Phi Alpha,Dormitory
Alpha Sigma Phi,Dormitory
Alpha Tau Omega,Dormitory
Autherine Lucy Hall,College Classroom
B.B. Comer Hall,College Classroom
Barnwell Hall,College Classroom
Bashinsky Computer Center,College Classroom
Beta Theta Pi,Dormitory
Beta Upsilon Chi,Dormitory
Betty Shirley Clinic,Urgent Care Center/Clinic/Other Outpatient Office
Bevill Building,College Laboratory
Bidgood Hall,College Classroom
Bill Battle Athletic Performance Center,Gymnasium
Blount Hall,Dormitory
Brewer-Porch Children's Center,Urgent Care Center/Clinic/Other Outpatient Office
Bruno Business Library,Library
Bryant Conference Center,Conference Center
Bryant Hall,Dormitory
Bryant Museum,Museum
Bryant-Jordan Hall,College Classroom
Bryce Lawn,Dormitory
Bryce Main Building,Office
Bureau of Mines,College Classroom
Burke Hall,Dormitory
Capstone College of Nursing Building,College Classroom
Capstone Village,Senior Care Community
Carmichael Hall,College Classroom
Chi Omega,Dormitory
Chi Phi,Dormitory
Child and Family Research Clinic,Urgent Care Center/Clinic/Other Outpatient Office
Child Development Research Center,College Classroom
Clark Hall,Office
Coleman Coliseum,Sports Arena
Cyber Hall,College Laboratory
Delta Chi,Dormitory
Delta Delta Delta,Dormitory
Delta Gamma,Dormitory
Delta Kappa Epsilon,Dormitory
Delta Sigma Theta,Dormitory
Delta Tau Delta,Dormitory
Delta Zeta,Dormitory
Denny Chimes,Other - Entertainment/Public Assembly
Doster Hall,College Classroom
Drummond Lyon Hall,College Classroom
East Annex,Office
East Edge,Dormitory
Employee Resource Center,Office
English Building,College Classroom
FarmHouse,Dormitory
Farrah Hall,College Classroom
Foster Auditorium,Auditorium
Gallalee Hall,College Classroom
Gamma Phi Beta,Dormitory
Garland Hall,College Classroom
Geological Survey of Alabama Building,Office
Gordon Palmer Hall,College Classroom
Gorgas House Museum,Museum
Gorgas Library,Library
Gorgas Machine Shop,College Laboratory
Greek Assembly Hall,Social/Meeting Hall
H.M. Comer Hall,College Classroom
Hank Crisp Indoor Facility,Gymnasium
Hardaway Hall,College Classroom
Harris Hall,Dormitory
Hewson Hall,College Classroom
Highlands,Dormitory
Holle Center for Communication Arts,College Classroom
Honors Hall,College Classroom
Houser Hall,College Classroom
John England Jr. Hall,Dormitory
Judy Bonner Child Development Center,K-12 School
Kappa Alpha Order,Dormitory
Kappa Alpha Theta,Dormitory
Kappa Delta,Dormitory
Kappa Kappa Gamma,Dormitory
Kappa Sigma,Dormitory
Lakeside East,Dormitory
Lakeside West,Dormitory
Lambda Chi Alpha,Dormitory
Law Center,College Classroom
Little Hall,College Classroom
Lloyd Hall,College Classroom
Magnolia House,Office
Mal M. Moore Athletic Facility,Office
Martha Parham Hall East,Dormitory
Martha Parham Hall West,Dormitory
Mary Harmon Bryant Hall,College Classroom
Math & Science Education Building,College Classroom
Maxwell Hall,College Classroom
McClure Library,Library
Moody Music Building,College Classroom
Morgan Hall,College Classroom
North Engineering Research Center,College Laboratory
North Lawn Hall,College Classroom
Northeast Medical Building,Health Services
Oliver-Barnard Hall,College Classroom
Osband Hall,Office
Parker-Haun Tennis Facility,Athletic Field
Paty Hall,Dormitory
Phi Delta Theta,Dormitory
Phi Gamma Delta,Dormitory
Phi Kappa Psi,Dormitory
Phi Kappa Sigma,Dormitory
Phi Kappa Tau,Dormitory
Phi Mu,Dormitory
Pi Beta Phi,Dormitory
Pi Kappa Alpha,Dormitory
Pi Kappa Phi,Dormitory
Presidential Village I,Dormitory
Presidential Village II,Dormitory
Presidents Hall,Dormitory
President's Mansion,Other - Lodging/Residential
Randall Welcome Center,Office
Reese Phifer Hall,College Classroom
Rhoads Stadium,Sports Stadium
Ridgecrest East,Dormitory
Ridgecrest North,Dormitory
Ridgecrest South,Dormitory
Ridgecrest West,Dormitory
Riverside East,Dormitory
Riverside North,Dormitory
Riverside South,Dormitory
Riverside West,Dormitory
Robert E. Witt Student Activity Center,Fitness Center
Roberta Alison Baumgardner Tennis Facility,Athletic Field
Rodgers Library,Library
Rose Administration Building,Office
Rowand-Johnson Building,Theater
Russell Hall,College Classroom
Saban Field at Bryant-Denny Stadium,Sports Stadium
